display_name,modulation,order,channel_name,gray_ok,roll_off,input_mode,snr_db,media,repeat,decoder,ber,model_path
16PSK,MPSK,16,AWGN,True,0.35,hard,4,image,3,Viterbi,0.0323615499,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,4,image,3,AI-BiGRU,0.0144604470,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,6,image,1,Viterbi,0.0086452538,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,6,image,1,AI-BiGRU,0.0032662002,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,6,image,2,Viterbi,0.0091976972,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,6,image,2,AI-BiGRU,0.0033631200,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,6,image,3,Viterbi,0.0092752331,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,6,image,3,AI-BiGRU,0.0037992595,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,8,image,1,Viterbi,0.0011630386,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,8,image,1,AI-BiGRU,0.0003101436,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,8,image,2,Viterbi,0.0009982748,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,8,image,2,AI-BiGRU,0.0004845994,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,8,image,3,Viterbi,0.0014150303,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,8,image,3,AI-BiGRU,0.0003876795,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,10,image,1,Viterbi,0.0000193840,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,10,image,1,AI-BiGRU,0.0000290760,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,10,image,2,Viterbi,0.0001938398,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,10,image,2,AI-BiGRU,0.0000484599,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,10,image,3,Viterbi,0.0000969199,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,10,image,3,AI-BiGRU,0.0000678439,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,0,audio,1,Viterbi,0.1669542696,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,0,audio,1,AI-BiGRU,0.1123588808,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,0,audio,2,Viterbi,0.1667441555,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,0,audio,2,AI-BiGRU,0.1118745753,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,0,audio,3,Viterbi,0.1688214537,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,0,audio,3,AI-BiGRU,0.1132052979,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,2,audio,1,Viterbi,0.0810369801,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,2,audio,1,AI-BiGRU,0.0439689806,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,2,audio,2,Viterbi,0.0806838096,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,2,audio,2,AI-BiGRU,0.0440315678,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,2,audio,3,Viterbi,0.0795319075,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,2,audio,3,AI-BiGRU,0.0437082007,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,4,audio,1,Viterbi,0.0297855346,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,4,audio,1,AI-BiGRU,0.0137021208,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,4,audio,2,Viterbi,0.0299688256,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,4,audio,2,AI-BiGRU,0.0132893435,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,4,audio,3,Viterbi,0.0303458388,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,4,audio,3,AI-BiGRU,0.0137676883,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,6,audio,1,Viterbi,0.0075074807,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,6,audio,1,AI-BiGRU,0.0029788515,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,6,audio,2,Viterbi,0.0077265358,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,6,audio,2,AI-BiGRU,0.0030727323,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,6,audio,3,Viterbi,0.0074925789,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,6,audio,3,AI-BiGRU,0.0031397899,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,8,audio,1,Viterbi,0.0011936268,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,8,audio,1,AI-BiGRU,0.0004723842,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,8,audio,2,Viterbi,0.0013098602,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
